"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","TOBS"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-27","0.68",,"57","51","56"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-02-28","0.08",,"67","53","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-01","0.28",,"60","53","54"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-02","0.00",,"54","37","45"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-03",,,"61","32","53"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-04",,,"60","35","49"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-05",,,"69","41","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-06","0.00",,"68","56","63"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-07",,,"63","36","48"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-08",,,"55","31","48"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-09",,,"56","28","52"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-10",,,"62","36","56"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-11",,,"74","45","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-12",,,"73","42","63"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-13",,,"69","54","64"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-14","0.00",,"75","56","69"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-15","0.65",,"69","51","51"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-16","0.01",,"63","49","56"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-17",,,"66","43","54"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-18",,,"72","44","64"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-19",,,"74","54","65"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-20","0.52",,"70","61","62"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-21",,,"63","48","58"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-22",,,"70","42","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-23",,,"75","52","66"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-24",,,"74","61","67"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-25",,,"68","52","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-26","0.10",,"74","54","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1931-03-27",,,"68","48","48"
